Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
TAGLN2,8407,Transgelin 2,270 µg/L,270000
GP5,2814,Glycoprotein V platelet,270 µg/L,270000
IGLV7-46,28775,Immunoglobulin lambda variable 7-46,270 µg/L,270000
IGHV7-81,28378,Immunoglobulin heavy variable 7-81 (non-functional),270 µg/L,270000
HEPHL1,341208,Hephaestin like 1,260 µg/L,260000
LAMB1,3912,Laminin subunit beta 1,250 µg/L,250000
COL6A1,1291,Collagen type VI alpha 1 chain,250 µg/L,250000
IGKV6-21,28906,Immunoglobulin kappa variable 6-21 (non-functional),250 µg/L,250000
AOC3,8639,Amine oxidase copper containing 3,240 µg/L,240000
CDH13,1012,Cadherin 13,240 µg/L,240000
FAM20C,56975,FAM20C golgi associated secretory pathway kinase,240 µg/L,240000
HLA-C,3107,"Major histocompatibility complex, class I, C",240 µg/L,240000
RPS27A,6233,Ribosomal protein S27a,230 µg/L,230000
KRT80,144501,Keratin 80,230 µg/L,230000
SERPINA11,256394,Serpin family A member 11,230 µg/L,230000
PPIA,5478,Peptidylprolyl isomerase A,230 µg/L,230000
MMP2,4313,Matrix metallopeptidase 2,220 µg/L,220000
FAH,2184,Fumarylacetoacetate hydrolase,220 µg/L,220000
CR2,1380,Complement C3d receptor 2,220 µg/L,220000
CADM1,23705,Cell adhesion molecule 1,220 µg/L,220000
KRT35,3886,Keratin 35,220 µg/L,220000
ACTN1,87,Actinin alpha 1,210 µg/L,210000
PLTP,5360,Phospholipid transfer protein,210 µg/L,210000
KRT32,3882,Keratin 32,210 µg/L,210000
PRAP1,118471,Proline rich acidic protein 1,210 µg/L,210000
CALR,811,Calreticulin,210 µg/L,210000
OLFM1,10439,Olfactomedin 1,200 µg/L,200000
MMRN1,22915,Multimerin 1,200 µg/L,200000
PDIA3,2923,Protein disulfide isomerase family A member 3,200 µg/L,200000
RNASE2,6036,Ribonuclease A family member 2,200 µg/L,200000
CDHR5,53841,Cadherin related family member 5,190 µg/L,190000
BST1,683,Bone marrow stromal cell antigen 1,190 µg/L,190000
PEBP4,157310,Phosphatidylethanolamine binding protein 4,190 µg/L,190000
IGFBP7,3490,Insulin like growth factor binding protein 7,190 µg/L,190000
IGF2R,3482,Insulin like growth factor 2 receptor,190 µg/L,190000
DPP4,1803,Dipeptidyl peptidase 4,190 µg/L,190000
IGHV2-26,28455,Immunoglobulin heavy variable 2-26,190 µg/L,190000
HLA-B,3106,"Major histocompatibility complex, class I, B",190 µg/L,190000
SELE,6401,Selectin E,180 µg/L,180000
NECTIN1,5818,Nectin cell adhesion molecule 1,180 µg/L,180000
LRP1,4035,LDL receptor related protein 1,180 µg/L,180000
KRT36,8689,Keratin 36,180 µg/L,180000
CHI3L1,1116,Chitinase 3 like 1,180 µg/L,180000
CD109,135228,CD109 molecule,180 µg/L,180000
ZYX,7791,Zyxin,180 µg/L,180000
HRNR,388697,Hornerin,180 µg/L,180000
FTL,2512,Ferritin light chain,170 µg/L,170000
PGK1,5230,Phosphoglycerate kinase 1,170 µg/L,170000
CKM,1158,"Creatine kinase, M-type",170 µg/L,170000
OGN,4969,Osteoglycin,170 µg/L,170000
TPI1,7167,Triosephosphate isomerase 1,170 µg/L,170000
GFAP,2670,Glial fibrillary acidic protein,170 µg/L,170000
KRT34,3885,Keratin 34,170 µg/L,170000
LDHA,3939,Lactate dehydrogenase A,170 µg/L,170000
CFHR4,10877,Complement factor H related 4,170 µg/L,170000
TPM3,7170,Tropomyosin 3,170 µg/L,170000
CNTN4,152330,Contactin 4,170 µg/L,170000
ACE,1636,Angiotensin I converting enzyme,170 µg/L,170000
RPL8,6132,Ribosomal protein L8,170 µg/L,170000
SLC3A2,6520,Solute carrier family 3 member 2,170 µg/L,170000
CYCS,54205,"Cytochrome c, somatic",170 µg/L,170000
TUBB,203068,Tubulin beta class I,170 µg/L,170000
ADAMTSL2,9719,ADAMTS like 2,170 µg/L,170000
HLA-A,3105,"Major histocompatibility complex, class I, A",170 µg/L,170000
MRC1,4360,Mannose receptor C-type 1,170 µg/L,170000
IGHV2-70,28454,Immunoglobulin heavy variable 2-70,170 µg/L,170000
KRT33A,3883,Keratin 33A,160 µg/L,160000
ATRNL1,26033,Attractin like 1,160 µg/L,160000
NOTCH2,4853,Notch receptor 2,160 µg/L,160000
IL6ST,3572,Interleukin 6 signal transducer,160 µg/L,160000
PTPRF,5792,Protein tyrosine phosphatase receptor type F,160 µg/L,160000
FERMT3,83706,Fermitin family member 3,160 µg/L,160000
SVEP1,79987,"Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",160 µg/L,160000
TUBA1C,84790,Tubulin alpha 1c,160 µg/L,160000
KRT86,3892,Keratin 86,160 µg/L,160000
CDH2,1000,Cadherin 2,160 µg/L,160000
KRT38,8687,Keratin 38,160 µg/L,160000
IGLV5-45,28781,Immunoglobulin lambda variable 5-45,160 µg/L,160000
AFP,174,Alpha fetoprotein,150 µg/L,150000
PTPRS,5802,Protein tyrosine phosphatase receptor type S,150 µg/L,150000
ALDOC,230,"Aldolase, fructose-bisphosphate C",150 µg/L,150000
NID1,4811,Nidogen 1,150 µg/L,150000
TKT,7086,Transketolase,150 µg/L,150000
LSAMP,4045,Limbic system associated membrane protein,150 µg/L,150000
DSG2,1829,Desmoglein 2,140 µg/L,140000
H6PD,9563,Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,140 µg/L,140000
HSPA8,3312,Heat shock protein family A (Hsp70) member 8,140 µg/L,140000
KRT18,3875,Keratin 18,140 µg/L,140000
MB,4151,Myoglobin,140 µg/L,140000
TPM2,7169,Tropomyosin 2,140 µg/L,140000
LILRA2,11027,Leukocyte immunoglobulin like receptor A2,140 µg/L,140000
CEACAM1,634,CEA cell adhesion molecule 1,130 µg/L,130000
APMAP,57136,Adipocyte plasma membrane associated protein,130 µg/L,130000
SPARC,6678,Secreted protein acidic and cysteine rich,130 µg/L,130000
CNTN3,5067,Contactin 3,130 µg/L,130000
COLEC11,78989,Collectin subfamily member 11,130 µg/L,130000
TUBA4A,7277,Tubulin alpha 4a,130 µg/L,130000
ISLR,3671,Immunoglobulin superfamily containing leucine rich repeat,130 µg/L,130000
DSG1,1828,Desmoglein 1,130 µg/L,130000
MSN,4478,Moesin,130 µg/L,130000
HYOU1,10525,Hypoxia up-regulated 1,130 µg/L,130000
ICOSLG,23308,Inducible T cell costimulator ligand,130 µg/L,130000
KRT74,121391,Keratin 74,130 µg/L,130000
KRT83,3889,Keratin 83,130 µg/L,130000
PTPRM,5797,Protein tyrosine phosphatase receptor type M,130 µg/L,130000
SIRPA,140885,Signal regulatory protein alpha,130 µg/L,130000
KRT81,3887,Keratin 81,130 µg/L,130000
IGLV7-43,28776,Immunoglobulin lambda variable 7-43,130 µg/L,130000
PLXND1,23129,Plexin D1,120 µg/L,120000
PLS3,5358,Plastin 3,120 µg/L,120000
PRDX6,9588,Peroxiredoxin 6,120 µg/L,120000
ANGPTL3,27329,Angiopoietin like 3,120 µg/L,120000
TPM1,7168,Tropomyosin 1,120 µg/L,120000
GSTO1,9446,Glutathione S-transferase omega 1,120 µg/L,120000
NCAM2,4685,Neural cell adhesion molecule 2,120 µg/L,120000
ADAMTS13,11093,ADAM metallopeptidase with thrombospondin type 1 motif 13,120 µg/L,120000
PGAM1,5223,Phosphoglycerate mutase 1,120 µg/L,120000
IGLV4-60,28785,Immunoglobulin lambda variable 4-60,120 µg/L,120000
IGHV1-58,28464,Immunoglobulin heavy variable 1-58,120 µg/L,120000
GRN,2896,Granulin precursor,110 µg/L,110000
TIMP2,7077,TIMP metallopeptidase inhibitor 2,110 µg/L,110000
NRCAM,4897,Neuronal cell adhesion molecule,110 µg/L,110000
CPA1,1357,Carboxypeptidase A1,110 µg/L,110000
TUBB4A,10382,Tubulin beta 4A class IVa,110 µg/L,110000
ADGRG6,57211,Adhesion G protein-coupled receptor G6,110 µg/L,110000
MAN2A1,4124,Mannosidase alpha class 2A member 1,110 µg/L,110000
PRDX1,5052,Peroxiredoxin 1,110 µg/L,110000
KRT85,3891,Keratin 85,110 µg/L,110000
KRT71,112802,Keratin 71,110 µg/L,110000
ADAMTSL4,54507,ADAMTS like 4,110 µg/L,110000
MFAP4,4239,Microfibril associated protein 4,110 µg/L,110000
P4HB,5034,Prolyl 4-hydroxylase subunit beta,110 µg/L,110000
IGHV2-70D,102723168,Immunoglobulin heavy variable 2-70D,110 µg/L,110000
PECAM1,5175,Platelet and endothelial cell adhesion molecule 1,110 µg/L,110000
DSP,1832,Desmoplakin,100 µg/L,100000
CHGA,1113,Chromogranin A,100 µg/L,100000
MET,4233,"MET proto-oncogene, receptor tyrosine kinase",100 µg/L,100000
GOT1,2805,Glutamic-oxaloacetic transaminase 1,100 µg/L,100000
SRGN,5552,Serglycin,100 µg/L,100000
LAMC1,3915,Laminin subunit gamma 1,100 µg/L,100000
CTSB,1508,Cathepsin B,100 µg/L,100000
PRG2,5553,"Proteoglycan 2, pro eosinophil major basic protein",100 µg/L,100000
HLA-E,3133,"Major histocompatibility complex, class I, E",100 µg/L,100000
B3GNT2,10678,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",99 µg/L,99000
MYH1,4619,Myosin heavy chain 1,98 µg/L,98000
PAM,5066,Peptidylglycine alpha-amidating monooxygenase,98 µg/L,98000
B4GALT1,2683,"Beta-1,4-galactosyltransferase 1",97 µg/L,97000
YWHAB,7529,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,97 µg/L,97000
STAB1,23166,Stabilin 1,96 µg/L,96000
LTBP1,4052,Latent transforming growth factor beta binding protein 1,96 µg/L,96000
MEGF9,1955,Multiple EGF like domains 9,96 µg/L,96000
PLXNB1,5364,Plexin B1,95 µg/L,95000
LILRA1,11024,Leukocyte immunoglobulin like receptor A1,94 µg/L,94000
PDLIM1,9124,PDZ and LIM domain 1,93 µg/L,93000
CD34,947,CD34 molecule,93 µg/L,93000
ITGA2B,3674,Integrin subunit alpha 2b,90 µg/L,90000
SBSN,374897,Suprabasin,89 µg/L,89000
TUBB3,10381,Tubulin beta 3 class III,89 µg/L,89000
CTSZ,1522,Cathepsin Z,88 µg/L,88000
EGFR,1956,Epidermal growth factor receptor,88 µg/L,88000
CPB1,1360,Carboxypeptidase B1,88 µg/L,88000
CAVIN2,8436,Caveolae associated protein 2,88 µg/L,88000
LMAN2,10960,"Lectin, mannose binding 2",88 µg/L,88000
SSC5D,284297,Scavenger receptor cysteine rich family member with 5 domains,88 µg/L,88000
PSAP,5660,Prosaposin,88 µg/L,88000
TFPI,7035,Tissue factor pathway inhibitor,87 µg/L,87000
TIE1,7075,Tyrosine kinase with immunoglobulin like and EGF like domains 1,87 µg/L,87000
TUBB1,81027,Tubulin beta 1 class VI,87 µg/L,87000
C1orf56,54964,Chromosome 1 open reading frame 56,87 µg/L,87000
CEACAM6,4680,CEA cell adhesion molecule 6,86 µg/L,86000
GPI,2821,Glucose-6-phosphate isomerase,86 µg/L,86000
ENO3,2027,Enolase 3,86 µg/L,86000
LTA4H,4048,Leukotriene A4 hydrolase,86 µg/L,86000
CLSTN1,22883,Calsyntenin 1,86 µg/L,86000
MYH4,4622,Myosin heavy chain 4,86 µg/L,86000
OSCAR,126014,Osteoclast associated Ig-like receptor,84 µg/L,84000
MMRN2,79812,Multimerin 2,84 µg/L,84000
DAG1,1605,Dystroglycan 1,84 µg/L,84000
YWHAE,7531,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,83 µg/L,83000
ESAM,90952,Endothelial cell adhesion molecule,82 µg/L,82000
EEF1A1,1915,Eukaryotic translation elongation factor 1 alpha 1,82 µg/L,82000
CST6,1474,Cystatin E/M,82 µg/L,82000
GSR,2936,Glutathione-disulfide reductase,81 µg/L,81000
MYH2,4620,Myosin heavy chain 2,81 µg/L,81000
GOLM1,51280,Golgi membrane protein 1,81 µg/L,81000
BPGM,669,Bisphosphoglycerate mutase,81 µg/L,81000
MADCAM1,8174,Mucosal vascular addressin cell adhesion molecule 1,80 µg/L,80000
COL1A1,1277,Collagen type I alpha 1 chain,80 µg/L,80000
HBZ,3050,Hemoglobin subunit zeta,80 µg/L,80000
EXTL2,2135,Exostosin like glycosyltransferase 2,80 µg/L,80000
SFTPB,6439,Surfactant protein B,80 µg/L,80000
TUBA8,51807,Tubulin alpha 8,80 µg/L,80000
CDH1,999,Cadherin 1,78 µg/L,78000
FGFR1,2260,Fibroblast growth factor receptor 1,78 µg/L,78000
TMEM132C,92293,Transmembrane protein 132C,78 µg/L,78000
PAPPA,5069,Pappalysin 1,78 µg/L,78000
PLXNB2,23654,Plexin B2,78 µg/L,78000
IGHE,3497,Immunoglobulin heavy constant epsilon,77 µg/L,77000
AMY2B,280,Amylase alpha 2B,77 µg/L,77000
PAPLN,89932,"Papilin, proteoglycan like sulfated glycoprotein",76 µg/L,76000
CALM1,801,Calmodulin 1,75 µg/L,75000
PSG1,5669,Pregnancy specific beta-1-glycoprotein 1,75 µg/L,75000
SPP1,6696,Secreted phosphoprotein 1,73 µg/L,73000
CAP1,10487,Cyclase associated actin cytoskeleton regulatory protein 1,73 µg/L,73000
MEGF10,84466,Multiple EGF like domains 10,73 µg/L,73000
AXL,558,AXL receptor tyrosine kinase,72 µg/L,72000
HSP90AA1,3320,Heat shock protein 90 alpha family class A member 1,71 µg/L,71000
ACTN4,81,Actinin alpha 4,71 µg/L,71000
SLC38A10,124565,Solute carrier family 38 member 10,70 µg/L,70000
KRT78,196374,Keratin 78,70 µg/L,70000
AMY1B,277,Amylase alpha 1B,70 µg/L,70000
AMY1C,278,Amylase alpha 1C,70 µg/L,70000
AMY1A,276,Amylase alpha 1A,70 µg/L,70000
GSTP1,2950,Glutathione S-transferase pi 1,69 µg/L,69000
CRHBP,1393,Corticotropin releasing hormone binding protein,69 µg/L,69000
RAPH1,65059,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,69 µg/L,69000
OAF,220323,Out at first homolog,69 µg/L,69000
REG1A,5967,Regenerating family member 1 alpha,68 µg/L,68000
KRT84,3890,Keratin 84,67 µg/L,67000
AKR1B10,57016,Aldo-keto reductase family 1 member B10,67 µg/L,67000
L1CAM,3897,L1 cell adhesion molecule,67 µg/L,67000
HLA-G,3135,"Major histocompatibility complex, class I, G",67 µg/L,67000
PSG3,5671,Pregnancy specific beta-1-glycoprotein 3,67 µg/L,67000
PIP,5304,Prolactin induced protein,66 µg/L,66000
UMOD,7369,Uromodulin,66 µg/L,66000
YWHAG,7532,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,66 µg/L,66000
LILRB2,10288,Leukocyte immunoglobulin like receptor B2,65 µg/L,65000
FCRL5,83416,Fc receptor like 5,65 µg/L,65000
MERTK,10461,"MER proto-oncogene, tyrosine kinase",65 µg/L,65000
PSG6,5675,Pregnancy specific beta-1-glycoprotein 6,65 µg/L,65000
IGDCC4,57722,Immunoglobulin superfamily DCC subclass member 4,64 µg/L,64000
RECK,8434,Reversion inducing cysteine rich protein with kazal motifs,64 µg/L,64000
JUP,3728,Junction plakoglobin,64 µg/L,64000
WDR1,9948,WD repeat domain 1,63 µg/L,63000
HSP90AB1,3326,Heat shock protein 90 alpha family class B member 1,63 µg/L,63000
HSPA2,3306,Heat shock protein family A (Hsp70) member 2,63 µg/L,63000
BASP1,10409,Brain abundant membrane attached signal protein 1,63 µg/L,63000
CD99,4267,CD99 molecule (Xg blood group),62 µg/L,62000
PEAR1,375033,Platelet endothelial aggregation receptor 1,62 µg/L,62000
MMP9,4318,Matrix metallopeptidase 9,61 µg/L,61000
PSMA2,5683,Proteasome 20S subunit alpha 2,61 µg/L,61000
ARHGDIB,397,Rho GDP dissociation inhibitor beta,61 µg/L,61000
SEMA4B,10509,Semaphorin 4B,61 µg/L,61000
RNASE4,6038,Ribonuclease A family member 4,61 µg/L,61000
MYL6,4637,Myosin light chain 6,60 µg/L,60000
FUCA1,2517,Alpha-L-fucosidase 1,60 µg/L,60000
SELENBP1,8991,Selenium binding protein 1,59 µg/L,59000
VSIG4,11326,V-set and immunoglobulin domain containing 4,59 µg/L,59000
CD59,966,CD59 molecule (CD59 blood group),58 µg/L,58000
ADA2,51816,Adenosine deaminase 2,58 µg/L,58000
LILRB5,10990,Leukocyte immunoglobulin like receptor B5,58 µg/L,58000
ALDH1A1,216,Aldehyde dehydrogenase 1 family member A1,58 µg/L,58000
NTM,50863,Neurotrimin,58 µg/L,58000
PNP,4860,Purine nucleoside phosphorylase,58 µg/L,58000
PSG4,5672,Pregnancy specific beta-1-glycoprotein 4,58 µg/L,58000
FGL1,2267,Fibrinogen like 1,57 µg/L,57000
CHIT1,1118,Chitinase 1,57 µg/L,57000
B4GAT1,11041,"Beta-1,4-glucuronyltransferase 1",57 µg/L,57000
B3GNT8,374907,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",57 µg/L,57000
FUCA2,2519,Alpha-L-fucosidase 2,56 µg/L,56000
FAP,2191,Fibroblast activation protein alpha,56 µg/L,56000
PLS1,5357,Plastin 1,56 µg/L,56000
ADGRF5,221395,Adhesion G protein-coupled receptor F5,55 µg/L,55000
EEF1A2,1917,Eukaryotic translation elongation factor 1 alpha 2,55 µg/L,55000
ENO2,2026,Enolase 2,55 µg/L,55000
SOD2,6648,Superoxide dismutase 2,55 µg/L,55000
CNTFR,1271,Ciliary neurotrophic factor receptor,55 µg/L,55000
PSG8,440533,Pregnancy specific beta-1-glycoprotein 8,55 µg/L,55000
PRKCSH,5589,Protein kinase C substrate 80K-H,55 µg/L,55000
ENPEP,2028,Glutamyl aminopeptidase,55 µg/L,55000
LAMA2,3908,Laminin subunit alpha 2,55 µg/L,55000
IGLV10-54,28772,Immunoglobulin lambda variable 10-54,54 µg/L,54000
GDI2,2665,GDP dissociation inhibitor 2,53 µg/L,53000
NPC2,10577,NPC intracellular cholesterol transporter 2,53 µg/L,53000
MYH8,4626,Myosin heavy chain 8,53 µg/L,53000
CA3,761,Carbonic anhydrase 3,53 µg/L,53000
HSPA1L,3305,Heat shock protein family A (Hsp70) member 1 like,53 µg/L,53000
OIT3,170392,Oncoprotein induced transcript 3,52 µg/L,52000
TUBB6,84617,Tubulin beta 6 class V,52 µg/L,52000
PEBP1,5037,Phosphatidylethanolamine binding protein 1,51 µg/L,51000
CPQ,10404,Carboxypeptidase Q,51 µg/L,51000
OSMR,9180,Oncostatin M receptor,51 µg/L,51000
TGFBR3,7049,Transforming growth factor beta receptor 3,50 µg/L,50000
SOD1,6647,Superoxide dismutase 1,50 µg/L,50000
MDH1,4190,Malate dehydrogenase 1,49 µg/L,49000
TXNDC15,79770,Thioredoxin domain containing 15,49 µg/L,49000
YWHAQ,10971,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,49 µg/L,49000
WARS1,7453,Tryptophanyl-tRNA synthetase 1,49 µg/L,49000
KIT,3815,"KIT proto-oncogene, receptor tyrosine kinase",49 µg/L,49000
ART3,419,ADP-ribosyltransferase 3 (inactive),48 µg/L,48000
CSPG4,1464,Chondroitin sulfate proteoglycan 4,48 µg/L,48000
CALML5,51806,Calmodulin like 5,48 µg/L,48000
FAM3C,10447,FAM3 metabolism regulating signaling molecule C,48 µg/L,48000
DMKN,93099,Dermokine,47 µg/L,47000
CFL2,1073,Cofilin 2,47 µg/L,47000
HSPA1A,3303,Heat shock protein family A (Hsp70) member 1A,47 µg/L,47000
NOTCH3,4854,Notch receptor 3,46 µg/L,46000
ATF6,22926,Activating transcription factor 6,46 µg/L,46000
FCGR2A,2212,Fc fragment of IgG receptor IIa,46 µg/L,46000
TLN2,83660,Talin 2,46 µg/L,46000
ATF6B,1388,Activating transcription factor 6 beta,46 µg/L,46000
CORO1A,11151,Coronin 1A,45 µg/L,45000
FABP1,2168,Fatty acid binding protein 1,45 µg/L,45000
GP6,51206,Glycoprotein VI platelet,44 µg/L,44000
SIRPB1,10326,Signal regulatory protein beta 1,44 µg/L,44000
MANSC1,54682,MANSC domain containing 1,44 µg/L,44000
ALAD,210,Aminolevulinate dehydratase,44 µg/L,44000
MYH7,4625,Myosin heavy chain 7,43 µg/L,43000
SPINK5,11005,Serine peptidase inhibitor Kazal type 5,43 µg/L,43000
TREML1,340205,Triggering receptor expressed on myeloid cells like 1,43 µg/L,43000
ITGA2,3673,Integrin subunit alpha 2,43 µg/L,43000
CD248,57124,CD248 molecule,43 µg/L,43000
PSG9,5678,Pregnancy specific beta-1-glycoprotein 9,43 µg/L,43000
MAN2A2,4122,Mannosidase alpha class 2A member 2,43 µg/L,43000
IGLV9-49,28773,Immunoglobulin lambda variable 9-49,43 µg/L,43000
EZR,7430,Ezrin,42 µg/L,42000
BLMH,642,Bleomycin hydrolase,42 µg/L,42000
YWHAH,7533,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,42 µg/L,42000
PRCP,5547,Prolylcarboxypeptidase,42 µg/L,42000
PGD,5226,Phosphogluconate dehydrogenase,41 µg/L,41000
SH3BGRL3,83442,SH3 domain binding glutamate rich protein like 3,41 µg/L,41000
MELTF,4241,Melanotransferrin,41 µg/L,41000
NECTIN3,25945,Nectin cell adhesion molecule 3,41 µg/L,41000
IGKV1D-42,28892,Immunoglobulin kappa variable 1D-42 (non-functional),41 µg/L,41000
PSG2,5670,Pregnancy specific beta-1-glycoprotein 2,41 µg/L,41000
HEXB,3074,Hexosaminidase subunit beta,40 µg/L,40000
CES1,1066,Carboxylesterase 1,40 µg/L,40000
PSG11,5680,Pregnancy specific beta-1-glycoprotein 11,40 µg/L,40000
PDGFRB,5159,Platelet derived growth factor receptor beta,39 µg/L,39000
CALD1,800,Caldesmon 1,39 µg/L,39000
EXT2,2132,Exostosin glycosyltransferase 2,39 µg/L,39000
CCDC126,90693,Coiled-coil domain containing 126,39 µg/L,39000
ADH1B,125,"Alcohol dehydrogenase 1B (class I), beta polypeptide",39 µg/L,39000
TFRC,7037,Transferrin receptor,38 µg/L,38000
PLA2G15,23659,Phospholipase A2 group XV,38 µg/L,38000
RDX,5962,Radixin,38 µg/L,38000
SEMA7A,8482,Semaphorin 7A (John Milton Hagen blood group),38 µg/L,38000
PGAM2,5224,Phosphoglycerate mutase 2,38 µg/L,38000
CKB,1152,Creatine kinase B,38 µg/L,38000
ADH1A,124,"Alcohol dehydrogenase 1A (class I), alpha polypeptide",38 µg/L,38000
ITGB3,3690,Integrin subunit beta 3,38 µg/L,38000
PDE3A,5139,Phosphodiesterase 3A,37 µg/L,37000
CCL14,6358,C-C motif chemokine ligand 14,37 µg/L,37000
MRC2,9902,Mannose receptor C type 2,36 µg/L,36000
AGA,175,Aspartylglucosaminidase,36 µg/L,36000
FCN1,2219,Ficolin 1,36 µg/L,36000
FGFBP2,83888,Fibroblast growth factor binding protein 2,36 µg/L,36000
PGLYRP1,8993,Peptidoglycan recognition protein 1,35 µg/L,35000
VIM,7431,Vimentin,35 µg/L,35000
CD84,8832,CD84 molecule,35 µg/L,35000
PARK7,11315,Parkinsonism associated deglycase,35 µg/L,35000
ACTR2,10097,Actin related protein 2,35 µg/L,35000
IL6R,3570,Interleukin 6 receptor,35 µg/L,35000
FBLN2,2199,Fibulin 2,35 µg/L,35000
MYL9,10398,Myosin light chain 9,34 µg/L,34000
TNN,63923,Tenascin N,34 µg/L,34000
FSTL1,11167,Follistatin like 1,34 µg/L,34000
VCP,7415,Valosin containing protein,34 µg/L,34000
KRTDAP,388533,Keratinocyte differentiation associated protein,34 µg/L,34000
PODXL,5420,Podocalyxin like,33 µg/L,33000
GPNMB,10457,Glycoprotein nmb,33 µg/L,33000
RSU1,6251,Ras suppressor protein 1,33 µg/L,33000
PPIB,5479,Peptidylprolyl isomerase B,33 µg/L,33000
CR1,1378,Complement C3b/C4b receptor 1 (Knops blood group),33 µg/L,33000
VASP,7408,Vasodilator stimulated phosphoprotein,32 µg/L,32000
TIMD4,91937,T cell immunoglobulin and mucin domain containing 4,32 µg/L,32000
EPHA1,2041,EPH receptor A1,32 µg/L,32000
COL3A1,1281,Collagen type III alpha 1 chain,32 µg/L,32000
REG1B,5968,Regenerating family member 1 beta,32 µg/L,32000
IGKV6D-41,28869,Immunoglobulin kappa variable 6D-41 (non-functional),32 µg/L,32000
PDCD1LG2,80380,Programmed cell death 1 ligand 2,31 µg/L,31000
GDI1,2664,GDP dissociation inhibitor 1,31 µg/L,31000
ADH1C,126,"Alcohol dehydrogenase 1C (class I), gamma polypeptide",31 µg/L,31000
MARCO,8685,Macrophage receptor with collagenous structure,30 µg/L,30000
TPR,7175,"Translocated promoter region, nuclear basket protein",30 µg/L,30000
ERAP1,51752,Endoplasmic reticulum aminopeptidase 1,30 µg/L,30000
