symbol	Entrez	UNIPROT	3250_overlap	Concentration(ng/L)	EV_number of experiment	EV_quantity_Median
TREH	11181	O43280	NA	12000	NA	NA
MTSS1	9788	O43312	NA	140	NA	NA
COCH	1690	O43405	NA	160	19	NA
MGAM	8972	O43451	NA	310	11	NA
B4GAT1	11041	O43505	NA	57000	12	128486548.4
TNFSF12	8742	O43508	NA	130	NA	NA
WIPF1	7456	O43516	NA	520	NA	NA
CHST10	9486	O43529	NA	680	NA	NA
SGCE	8910	O43556	NA	170	11	NA
LAT	27040	O43561	NA	140	9	NA
CA12	771	O43570	NA	52	14	50509313.25
DENR	8562	O43583	NA	200	15	NA
TIMM44	10469	O43615	NA	9.1	17	NA
PSCA	8000	O43653	NA	18	23	175205659.9
RGS10	6001	O43665	NA	840	9	NA
GSTZ1	2954	O43708	NA	340	15	NA
ENSA	2029	O43768	NA	700	NA	NA
KRT86	3892	O43790	NA	160000	8	251327895
AKAP8	10270	O43823	NA	10	NA	2172177.307
ANGPTL7	10218	O43827	NA	1100	NA	18010951.5
NRDC	4898	O43847	NA	58	21	NA
XPNPEP2	7512	O43895	NA	13000	6	10473863.25
TLL1	7092	O43897	NA	560	4	71501837
VEGFD	2277	O43915	NA	450	NA	NA
CHST1	8534	O43916	NA	10	NA	NA
AKR1B10	57016	O60218	NA	67000	17	140734038
KALRN	8997	O60229	NA	83	1	NA
PLIN1	5346	O60240	NA	22	NA	6190300.25
ADGRB2	576	O60241	NA	32	NA	NA
ADGRB3	577	O60242	NA	8.6	NA	NA
HS6ST1	9394	O60243	NA	72	NA	NA
PCDH7	5099	O60245	NA	340	NA	NA
KLK8	11202	O60259	NA	3200	NA	NA
KIAA0513	9764	O60268	NA	67	NA	NA
SUSD5	26032	O60279	NA	17000	NA	NA
OPA1	4976	O60313	NA	10	23	NA
PCDHGA12	26025	O60330	NA	21	NA	NA
PPL	5493	O60437	NA	80	29	NA
PLXNC1	10154	O60486	NA	150	20	23029277.13
DOK2	9046	O60496	NA	220	NA	3207624
SORBS3	10174	O60504	NA	7.7	3	NA
B4GALT3	8703	O60512	NA	130	8	NA
NEMF	9147	O60524	NA	830	1	NA
GFRA3	2676	O60609	NA	150	NA	NA
DIAPH1	1729	O60610	NA	2000	32	NA
SELENOF	9403	O60613	NA	420	11	NA
SNAP91	9892	O60641	NA	28	6	NA
FCMR	9214	O60667	NA	5500	NA	NA
TPST2	8459	O60704	NA	88	NA	32170958.5
CTNND1	1500	O60716	NA	200	39	NA
HPGDS	27306	O60760	NA	250	NA	102903856
EIF5B	9669	O60841	NA	210	25	NA
ZG16	653808	O60844	NA	1300	NA	226063482.7
B4GALT2	8704	O60909	NA	3100	NA	NA
CTSV	1515	O60911	NA	370	11	60269686.38
PPP1R11	6992	O60927	NA	43	NA	NA
NOL3	8996	O60936	NA	26	12	NA
LILRA1	11024	O75019	NA	94000	NA	NA
LILRB3	11025	O75022	NA	16000	NA	NA
LILRB5	10990	O75023	NA	58000	NA	NA
PLXNA2	5362	O75051	NA	1400	12	38165691.35
FAM20B	9917	O75063	NA	14000	NA	67643097
EFCAB14	9813	O75071	NA	110	NA	NA
ADAM23	8745	O75077	NA	890	NA	NA
ADAM11	4185	O75078	NA	23	NA	NA
MEGF6	1953	O75095	NA	1700	NA	NA
LDB3	11155	O75112	NA	750	NA	NA
ICOSLG	23308	O75144	NA	130000	NA	84260184.5
CLUH	23277	O75153	NA	5.5	17	NA
TSC22D2	9819	O75157	NA	100	NA	NA
ADAMTS4	9507	O75173	NA	11	12	14101619.5
CNOT3	4849	O75175	NA	39	15	NA
LRP5	4041	O75197	NA	1500	21	67842441.94
CDH16	1014	O75309	NA	130	NA	NA
SEMA7A	8482	O75326	NA	38000	1	32995519.34
CILP	8483	O75339	NA	13000	20	NA
ALOX12B	242	O75342	NA	7	9	NA
TBCA	6902	O75347	NA	1800	29	NA
ENTPD6	955	O75354	NA	41	NA	818721.4707
ENTPD5	957	O75356	NA	5900	NA	NA
CS	1431	O75390	NA	670	28	NA
TACC1	6867	O75410	NA	47	2	NA
SRSF10	10772	O75494	NA	49	22	NA
CLN5	1203	O75503	NA	470	NA	NA
HSBP1	3281	O75506	NA	12	NA	15448397.31
TNFRSF21	27242	O75509	NA	2300	15	4448988.551
STX11	8676	O75558	NA	1100	NA	NA
SKAP2	8935	O75563	NA	1000	NA	11130416.31
LRP6	4040	O75581	NA	390	13	NA
PGLYRP1	8993	O75594	NA	35000	NA	26516060.19
CREG1	8804	O75629	NA	520	23	68359340
SERPINB7	8710	O75635	NA	160	NA	NA
FCN3	8547	O75636	NA	14000000	NA	67489306.33
SCRG1	11341	O75711	NA	240	NA	NA
SLC25A12	8604	O75746	NA	9.1	11	NA
B3GALNT1	8706	O75752	NA	400	15	NA
ATP6AP2	10159	O75787	NA	140	25	NA
GRAP2	9402	O75791	NA	290	14	NA
CNMD	11061	O75829	NA	9.5	NA	59656511
TNFSF13	8741	O75888	NA	35	NA	NA
BBOX1	8424	O75936	NA	35	NA	15049443.81
SASH3	54440	O75995	NA	14	13	NA
KRT33A	3883	O76009	NA	160000	1	3788720106
KRT34	3885	O76011	NA	170000	1	3618566411
KRT36	8689	O76013	NA	180000	1	355807812.3
KRT38	8687	O76015	NA	160000	6	NA
CLPX	10845	O76031	NA	65	NA	NA
SEC14L2	23541	O76054	NA	580	12	34633162.75
STC2	8614	O76061	NA	19000	16	58630295.78
CCN5	8839	O76076	NA	1200	14	127160999.6
CST7	8530	O76096	NA	26	NA	NA
ECM2	1842	O94769	NA	10000	7	118438266
LY6H	4062	O94772	NA	12	NA	16358247.63
CNTN5	53942	O94779	NA	480	NA	NA
SLIT2	9353	O94813	NA	77	16	NA
NFASC	23114	O94856	NA	2200	NA	NA
LRIG2	9860	O94898	NA	2100	NA	NA
ADGRL1	22859	O94910	NA	180	4	NA
GLCE	26035	O94923	NA	240	9	NA
ABLIM3	22885	O94929	NA	30	15	NA
SLITRK3	22865	O94933	NA	2600	NA	NA
SEMA3D	223117	O95025	NA	120	11	NA
PRSS23	11098	O95084	NA	440	28	63931658.65
DUSP14	11072	O95147	NA	79	NA	36163051.89
AKR7A3	22977	O95154	NA	1900	12	318678671.1
UNC5C	8633	O95185	NA	310	NA	NA
ZRANB2	9406	O95218	NA	13	NA	84163572.95
ATE1	11101	O95260	NA	83	NA	NA
LYPD3	27076	O95274	NA	7600	22	16565951.63
TACC2	10579	O95359	NA	32	NA	NA
TRIM16	10626	O95361	NA	19	14	53685949.25
GDF11	10220	O95390	NA	340	NA	NA
BMP10	27302	O95393	NA	230	NA	3294064.25
PAPLN	89932	O95428	NA	76000	15	NA
ADAMTS2	9509	O95450	NA	2000	14	NA
MATN4	8785	O95460	NA	14	NA	NA
H6PD	9563	O95479	NA	140000	NA	14667845.38
ADGRL2	23266	O95490	NA	700	14	NA
VNN1	8876	O95497	NA	980000	NA	37456680
VNN2	8875	O95498	NA	240	NA	25752322.25
NPTXR	23467	O95502	NA	420	NA	NA
NTN1	9423	O95631	NA	110	21	52832364
FSTL3	10272	O95633	NA	7000	NA	32867432.13
KRT75	9119	O95678	NA	1500000	14	NA
LY86	9450	O95711	NA	77	NA	50612365.25
CRTAM	56253	O95727	NA	6800	NA	NA
ANGPTL1	9068	O95841	NA	380	6	NA
MPIG6B	80739	O95866	NA	330	NA	NA
ABHD16A	7920	O95870	NA	37	NA	7685629.75
OLFM2	93145	O95897	NA	2700	17	NA
FTCD	10841	O95954	NA	1600	NA	54153524.79
ITGBL1	9358	O95965	NA	37	NA	NA
EFEMP2	30008	O95967	NA	2600	9	NA
RECK	8434	O95980	NA	64000	17	16789400.41
AGR2	10551	O95994	NA	38	31	154507632.9
IL18BP	10068	O95998	NA	16000	NA	NA
NAPSA	9476	O96009	NA	1500	NA	2103689018
ADH1C	126	P00326	NA	31000	3	384475769.4
PAH	5053	P00439	NA	40	9	29784153.5
F8	2157	P00451	NA	25000	NA	40691779.38
OTC	5009	P00480	NA	2200	6	12974662.44
LALBA	3906	P00709	NA	91	NA	NA
F9	2158	P00740	NA	8200000	NA	96952660.67
CFD	1675	P00746	NA	4400000	12	NA
F12	2161	P00748	NA	7000000	NA	87829306
PLAU	5328	P00749	NA	88	24	26508863.5
PLAT	5327	P00750	NA	110	18	36486075.25
CFB	629	P00751	NA	120000000	NA	NA
REN	5972	P00797	NA	10	NA	NA
SPINK1	6690	P00995	NA	8000	NA	77289002
TIMP1	7076	P01033	NA	520000	15	NA
CST4	1472	P01036	NA	2800	6	NA
CST1	1469	P01037	NA	6300	15	NA
CSTA	1475	P01040	NA	28000	12	17122682.5
KNG1	3827	P01042	NA	47000000	NA	69370042.81
PDGFB	5155	P01127	NA	950	NA	NA
LDLR	3949	P01130	NA	23000	25	59931882
EGF	1950	P01133	NA	680	NA	NA
NPPA	4878	P01160	NA	1200	NA	NA
PENK	5179	P01210	NA	220	NA	NA
FSHB	2488	P01225	NA	78	NA	NA
GH1	2688	P01241	NA	6400	NA	NA
GH2	2689	P01242	NA	4200	NA	NA
TG	7038	P01266	NA	1600	2	48793528
GCG	2641	P01275	NA	420	NA	109383265.8
PPY	5539	P01298	NA	44	NA	NA
NPY	4852	P01303	NA	21	NA	NA
GAST	2520	P01350	NA	87	NA	NA
IL2RA	3559	P01589	NA	410	NA	NA
IGKV1D-33	28896	P01593	NA	4900000	NA	NA
IGKV1-39	28930	P01597	NA	8000000	NA	76679098.56
IGKV1-17	28937	P01599	NA	8400000	NA	110678612.1
IGKV1D-16	28901	P01601	NA	9000000	NA	73548484
IGKV1-5	28299	P01602	NA	8400000	1	75094739.81
IGKV1D-12	28903	P01611	NA	12000000	NA	NA
IGKV2D-40	28878	P01614	NA	1900000	NA	NA
IGKV2D-28	28883	P01615	NA	3500000	NA	NA
IGKV3-15	28913	P01624	NA	7200000	NA	NA
IGLV1-44	28823	P01699	NA	4000000	NA	607310115.1
IGLV1-47	28822	P01700	NA	3000000	NA	338994597
IGLV1-51	28820	P01701	NA	1700000	NA	142238832.1
IGLV1-40	28825	P01703	NA	2300000	NA	NA
IGLV2-14	28815	P01704	NA	2200000	NA	261878949
IGLV2-23	28813	P01705	NA	540000	NA	15837297.17
IGLV2-11	28816	P01706	NA	980000	NA	453124157
IGLV2-8	28817	P01709	NA	1500000	NA	402825437.1
IGLV3-19	28797	P01714	NA	1200000	NA	22335153.75
IGLV3-1	28809	P01715	NA	4300000	NA	8015025.5
IGLV3-25	28793	P01717	NA	3200000	NA	172473800.3
IGLV3-27	28791	P01718	NA	720000	NA	73704125
IGLV6-57	28778	P01721	NA	1900000	NA	NA
CD8A	925	P01732	NA	490	19	NA
IGHV1-46	28465	P01743	NA	2900000	NA	141194145.5
IGHV3-11	28450	P01762	NA	18000000	NA	187062473.8
IGHV3-48	28424	P01763	NA	49000000	NA	187062473.8
IGHV3-23	28442	P01764	NA	42000000	13	150344902.1
IGHV3-13	28449	P01766	NA	33000000	NA	223251743.2
IGHV3-53	28420	P01767	NA	4300000	NA	183672435.5
IGHV3-30	28439	P01768	NA	8500000	NA	NA
IGHV3-33	28434	P01772	NA	7500000	NA	183672435.5
IGHV3-7	28452	P01780	NA	39000000	NA	142389439
IGHV2-70	28454	P01814	NA	170000	NA	64248815
IGHV2-5	28457	P01817	NA	700000	NA	69963855.38
IGHV4-39	28394	P01824	NA	5000000	NA	80364887
IGHV4-59	28392	P01825	NA	5500000	NA	80364887
IGHE	3497	P01854	NA	77000	NA	37408875
IGHG1	3500	P01857	NA	230000000	1	1168068399
IGHA2	3494	P01877	NA	67000000	NA	877548678.3
IGHD	3495	P01880	NA	14000000	NA	22088304.88
HLA-DRA	3122	P01903	NA	950	14	NA
HLA-DQA1	3117	P01909	NA	200	NA	33981073.81
HBZ	3050	P02008	NA	80000	17	723691162
HBE1	3046	P02100	NA	510000	16	18404327686
MB	4151	P02144	NA	140000	11	NA
COL2A1	1280	P02458	NA	1400	9	NA
KRT14	3861	P02533	NA	1600000	27	225681812.7
KRT6A	3853	P02538	NA	4500000	18	188379784.1
TNNC2	7125	P02585	NA	560	4	272563146
APOA2	336	P02652	NA	92000000	1	NA
APOC1	341	P02654	NA	15000000	8	NA
APOC2	344	P02655	NA	49000000	14	NA
GYPA	2993	P02724	NA	15000	8	NA
SLC4A1	6521	P02730	NA	22000	NA	138481701
CRP	1401	P02741	NA	5200000	NA	70665791.5
APCS	325	P02743	NA	39000000	NA	106579169.3
C1QA	712	P02745	NA	2700000	NA	112241625.4
C1QC	714	P02747	NA	2100000	NA	170677423
APOH	350	P02749	NA	41000000	NA	187022978.3
LRG1	116844	P02750	NA	42000000	NA	130681063.3
RBP4	5950	P02753	NA	210000000	NA	NA
ORM1	5004	P02763	NA	61000000	NA	111522539.6
TTR	7276	P02766	NA	99000000	NA	47559572.91
AFP	174	P02771	NA	150000	6	NA
PPBP	5473	P02775	NA	2900000	NA	126901886.1
PRH2	5555	P02810	NA	21000	NA	NA
PRB2	653247	P02812	NA	25000	NA	18623203.56
SMR3B	10879	P02814	NA	1900	NA	NA
BGLAP	632	P02818	NA	2200	NA	NA
F11	2160	P03951	NA	4400000	NA	106551967
KLKB1	3818	P03952	NA	5300000	NA	31395465
MMP1	4312	P03956	NA	55	14	32363195.83
AMH	268	P03971	NA	280	NA	NA
SLPI	6590	P03973	NA	9600	NA	69482850.67
PLA2G1B	5319	P04054	NA	3900	NA	1066488985
PROC	5624	P04070	NA	5200000	NA	113247395.7
PDGFA	5154	P04085	NA	580	NA	NA
RLN2	6019	P04090	NA	10	NA	NA
CLPS	1208	P04118	NA	1600	NA	2222449423
TFF1	7031	P04155	NA	950	NA	101796514.5
PRNP	5621	P04156	NA	5100	23	NA
LCAT	3931	P04180	NA	6400000	12	226979826
IGLV7-43	28776	P04211	NA	130000	NA	186297097
THY1	7070	P04216	NA	14000	19	NA
A1BG	1	P04217	NA	51000000	NA	104523648.3
SHBG	6462	P04278	NA	9100000	1	NA
SEMG1	6406	P04279	NA	7000	9	1785630.563
IGKV1-16	28938	P04430	NA	10000000	NA	50646056
IGKV3-11	28914	P04433	NA	18000000	NA	132067905.1
NTRK1	4914	P04629	NA	79	NA	NA
MT1F	4494	P04733	NA	160	NA	8035382.75
GYPC	2995	P04921	NA	970	5	31910212.56
IGF1	3479	P05019	NA	330000	NA	NA
CHGB	1114	P05060	NA	6500	14	26219432.36
ALDOB	229	P05062	NA	560000	7	174505756.4
APP	351	P05067	NA	26000	39	NA
ARG1	383	P05089	NA	9500	15	25668335.81
ITGB3	3690	P05106	NA	38000	21	46426768.8
ITGB2	3689	P05107	NA	3300	8	NA
SERPINB2	5055	P05120	NA	2200	12	55753253.67
SERPINE1	5054	P05121	NA	13000	17	36720887.75
SERPINA5	5104	P05154	NA	2100000	NA	18311543.75
SERPING1	710	P05155	NA	28000000	NA	99839360.27
CFI	3426	P05156	NA	12000000	15	NA
F13B	2165	P05160	NA	4700000	NA	472712293
HMGN2	3151	P05204	NA	640	NA	13430749.7
SCG5	6447	P05408	NA	100	13	NA
FABP3	2170	P05413	NA	3000	14	NA
REG1A	5967	P05451	NA	68000	NA	59254958.56
CLEC3B	7123	P05452	NA	25000000	NA	NA
MYL1	4632	P05976	NA	21000	4	77455188.31
HPN	3249	P05981	NA	3300	NA	NA
FYN	2534	P06241	NA	820	26	126374256
IGKV2-30	28919	P06310	NA	6800000	NA	57598852.13
IGKV4-1	28908	P06312	NA	8500000	NA	153293617.3
IGKV5-2	28907	P06315	NA	4700	NA	NA
IGHV4-34	28395	P06331	NA	4300000	NA	80364887
PTMA	5757	P06454	NA	1200	13	NA
C2	717	P06681	NA	34000000	NA	70123319.69
APOA4	337	P06727	NA	74000000	NA	137544492.2
CEACAM5	1048	P06731	NA	23000	24	60652048.13
CKM	1158	P06732	NA	170000	12	63170508.83
FCER2	2208	P06734	NA	240	NA	NA
LPL	4023	P06858	NA	4200	14	59007904.85
HEXA	3073	P06865	NA	20000	24	NA
KLK1	3816	P06870	NA	10000	NA	NA
FABP1	2168	P07148	NA	45000	5	54093925.69
LDHB	3945	P07195	NA	560000	51	NA
NEFL	4747	P07196	NA	200	17	187079638.8
NEFM	4741	P07197	NA	220	9	NA
GPX1	2876	P07203	NA	3100	19	NA
THBD	7056	P07204	NA	1300	15	11193519.9
PROS1	5627	P07225	NA	5000000	7	NA
KLK3	354	P07288	NA	7000	NA	NA
ASGR1	432	P07306	NA	10	NA	85139384.16
ASGR2	433	P07307	NA	14000	NA	43829665.3
ACYP1	97	P07311	NA	89	23	NA
ADH1A	124	P07327	NA	38000	3	479050646
CSF1R	1436	P07333	NA	1600000	NA	40109113.25
CTSD	1509	P07339	NA	370000	36	NA
C8A	731	P07357	NA	6400000	NA	63643868.25
GP1BA	2811	P07359	NA	1600000	NA	NA
C8G	733	P07360	NA	2800000	NA	85062580.03
CA3	761	P07451	NA	53000	NA	31856612
IVL	3713	P07476	NA	4700	1	60272309.23
PRSS1	5644	P07477	NA	100000000	5	183820094.7
PRSS2	5645	P07478	NA	890000	10	NA
GALT	2592	P07902	NA	260	NA	64997285
HNRNPC	3183	P07910	NA	1200	46	NA
UMOD	7369	P07911	NA	66000	NA	NA
RET	5979	P07949	NA	2100	NA	NA
TPM2	7169	P07951	NA	140000	24	NA
SFTPB	6439	P07988	NA	80000	6	457279003.8
RNASE1	6035	P07998	NA	1100000	NA	17790709.06
IGF1R	3480	P08069	NA	46	14	NA
MSMB	4477	P08118	NA	6000	NA	NA
COL1A2	1278	P08123	NA	27000	7	NA
NGFR	4804	P08138	NA	490	14	67973693
CD55	1604	P08174	NA	360000	21	NA
SLC3A2	6520	P08195	NA	170000	57	NA
CELA2A	63036	P08217	NA	2700	NA	186033719.1
MMP3	4314	P08254	NA	460	NA	39888741.69
ADH4	127	P08319	NA	20000	NA	297512602
HMBS	3145	P08397	NA	21000	15	NA
MME	4311	P08473	NA	320	21	58852454.69
INHBA	3624	P08476	NA	210	11	65460870.38
MGP	4256	P08493	NA	29000	13	143503072
ITGA2B	3674	P08514	NA	90000	5	53829807.29
LPA	4018	P08519	NA	1800000	NA	54706860.75
MET	4233	P08581	NA	100000	24	27486534.63
MELTF	4241	P08582	NA	41000	39	27308313.56
MYL3	4634	P08590	NA	7300	18	77662496.63
F7	2155	P08709	NA	1300000	2	NA
KRT7	3855	P08729	NA	1300000	21	199121238.4
KRT16	3868	P08779	NA	1700000	24	238310754.7
IGFBP1	3484	P08833	NA	25000	NA	NA
RPSA	3921	P08865	NA	1200	33	NA
IL6R	3570	P08887	NA	35000	9	NA
SNRPA	6626	P09012	NA	35	24	NA
HBQ1	3049	P09105	NA	160	NA	19456136.63
DBH	1621	P09172	NA	1600000	NA	25832217.5
MMP7	4316	P09237	NA	35	14	41394346.08
CD48	962	P09326	NA	2000	NA	36995288.5
VIL1	7429	P09327	NA	6.8	27	73884526.69
HMGB1	3146	P09429	NA	2800	29	NA
PAEP	5047	P09466	NA	120	NA	NA
INHBB	3625	P09529	NA	130	13	75229928.5
CSF1	1435	P09603	NA	22000	11	NA
HNRNPA1	3178	P09651	NA	9300	21	NA
CTSH	1512	P09668	NA	8700	16	NA
GIP	2695	P09681	NA	540	NA	NA
ALPI	248	P09923	NA	130	7	37904839.52
FURIN	5045	P09958	NA	130	NA	NA
C4B	721	P0C0L5	NA	120000000	16	NA
ELFN1	392617	P0C7U0	NA	43	NA	NA
TMSB15A	11013	P0CG34	NA	130	NA	NA
SAA1	6288	P0DJI8	NA	11000000	16	476101091.3
SAA2	6289	P0DJI9	NA	9200000	17	177023568.9
SULT1A3	6818	P0DMM9	NA	160	4	NA
HSPA1A	3303	P0DMV8	NA	47000	40	1076589989
IGHV4-31	28396	P0DP07	NA	710000	1	NA
CALM1	801	P0DP23	NA	75000	34	523825605.2
SLURP2	432355	P0DP57	NA	3100	NA	NA
LYNX1	66004	P0DP58	NA	310	12	NA
VSIG8	391123	P0DPA2	NA	650	NA	48978080.25
IGKV1D-37	28894	P0DSN7	NA	6700000	NA	NA
AMY1B	277	P0DTE7	NA	70000	NA	NA
AMY1C	278	P0DTE8	NA	70000	NA	NA
AMY1A	276	P0DUB6	NA	70000	2	NA
SRGN	5552	P10124	NA	100000	11	NA
RNASE2	6036	P10153	NA	200000	NA	NA
SPP1	6696	P10451	NA	73000	14	14713159.5
MGST1	4257	P10620	NA	19	11	NA
MAPT	4137	P10636	NA	7.1	2	NA
CHGA	1113	P10645	NA	100000	11	46991979.81
TFPI	7035	P10646	NA	87000	13	NA
KIT	3815	P10721	NA	49000	13	415974182
UROS	7390	P10746	NA	69	NA	56529615
GHR	2690	P10912	NA	24000	NA	NA
MYL2	4633	P10916	NA	180	8	NA
MYH3	4621	P11055	NA	29000	3	211304764.3
LIPC	3990	P11150	NA	5500	NA	NA
PYGM	5837	P11217	NA	10000	21	354070934.7
MBL2	4153	P11226	NA	1900000	NA	7772308.574
FGFR1	2260	P11362	NA	78000	2	NA
UBL4A	8266	P11441	NA	11	12	NA
PSG1	5669	P11464	NA	75000	NA	NA
PSG2	5670	P11465	NA	41000	NA	NA
CETP	1071	P11597	NA	360000	NA	NA
SCGB1A1	7356	P11684	NA	13000	NA	NA
VPREB1	7441	P12018	NA	62	NA	NA
KRT3	3850	P12035	NA	280000	25	184908227.4
COX6A1	1337	P12074	NA	85	NA	2747520.469
FABP2	2169	P12104	NA	61	3	NA
COL11A1	1301	P12107	NA	640	4	NA
COL6A1	1291	P12109	NA	250000	30	NA
PIP	5304	P12273	NA	66000	9	34372090.29
FCGR2A	2212	P12318	NA	46000	9	25313027.04
BMP2	650	P12643	NA	21	11	5921938.25
BCKDHA	593	P12694	NA	7.7	NA	NA
ACE	1636	P12821	NA	170000	25	NA
MYL4	4635	P12829	NA	3100	7	NA
DEFA4	1669	P12838	NA	98	NA	NA
MLN	4295	P12872	NA	200	NA	NA
MYH1	4619	P12882	NA	98000	4	211304764.3
MYH7	4625	P12883	NA	43000	3	211304764.3
PEPD	5184	P12955	NA	860000	20	NA
GP1BB	2812	P13224	NA	4400	8	NA
BMP1	649	P13497	NA	9200	14	53322105
CCL5	6352	P13501	NA	2900	8	NA
SCG2	7857	P13521	NA	330	12	62393486.5
MYH6	4624	P13533	NA	25000	3	211304764.3
MYH8	4626	P13535	NA	53000	4	NA
NCAM1	4684	P13591	NA	2300000	23	38646477.5
ICAM2	3384	P13598	NA	730000	14	NA
ATP1A3	478	P13637	NA	220	28	NA
KRT10	3858	P13645	NA	18000000	40	279098586.2
KRT13	3860	P13646	NA	680000	30	176169031.3
KRT5	3852	P13647	NA	3600000	27	189133108
ACP5	54	P13686	NA	4000	13	106668558.8
CEACAM1	634	P13688	NA	130000	24	86986975.5
PRG2	5553	P13727	NA	100000	16	152515888.2
TNNT1	7138	P13805	NA	79	NA	NA
COL11A2	1302	P13942	NA	2100	NA	NA
CD59	966	P13987	NA	58000	33	NA
HSD17B1	3292	P14061	NA	19	NA	NA
GFAP	2670	P14136	NA	170000	19	206858820
SELL	6402	P14151	NA	4700000	NA	NA
FOLR2	2350	P14207	NA	15000	NA	57079011.75
HGF	3082	P14210	NA	14	NA	NA
PRF1	5551	P14222	NA	2100	16	NA
HCLS1	3059	P14317	NA	870	13	NA
ATP1B2	482	P14415	NA	160	1	NA
PLA2G2A	5320	P14555	NA	680	16	NA
GP9	2815	P14770	NA	2600	NA	52171330.5
IL1R1	3554	P14778	NA	1400	NA	NA
CPA1	1357	P15085	NA	110000	NA	259063184.5
CPB1	1360	P15086	NA	88000	NA	262751257.3
FABP4	2167	P15090	NA	22000	NA	42415766.69
PVR	5817	P15151	NA	720000	22	NA
PGAM2	5224	P15259	NA	38000	13	192225860.8
ACP3	55	P15309	NA	480	7	12844451.69
FOLR1	2348	P15328	NA	140	13	210719192.4
HPGD	3248	P15428	NA	20	19	141330511.5
ELN	2006	P15502	NA	2900	NA	NA
CSF2RA	1438	P15509	NA	13000	20	NA
GNS	2799	P15586	NA	510	24	NA
VEGFA	7422	P15692	NA	57	1	NA
CD1D	912	P15813	NA	880	NA	NA
IGLL1	3543	P15814	NA	48000000	NA	NA
MUC1	4582	P15941	NA	4000	13	NA
SELP	6403	P16109	NA	520000	9	NA
ACAN	176	P16112	NA	17000	14	NA
SPN	6693	P16150	NA	270	8	25197920.58
PNLIP	5406	P16233	NA	14000	NA	1543477616
PDGFRA	5156	P16234	NA	300	12	354812936
NCK1	4690	P16333	NA	17	9	NA
H1-3	3007	P16402	NA	4000	17	592474344.1
EPCAM	4072	P16422	NA	22	41	154201763.7
DPEP1	1800	P16444	NA	370	32	138166376
EPB42	2038	P16452	NA	1400	NA	124730653.7
PCSK2	5126	P16519	NA	18	8	39178148
CRISP2	7180	P16562	NA	820	NA	NA
SELE	6401	P16581	NA	180000	NA	NA
CD36	948	P16671	NA	5300	10	NA
CPE	1363	P16870	NA	600	9	67081856.08
IL7R	3575	P16871	NA	610	13	NA
IFNAR1	3454	P17181	NA	170	NA	NA
SMPD1	6609	P17405	NA	2700	NA	71480283.38
AKR1C4	1109	P17516	NA	3800	4	325911398.8
CKMT2	1160	P17540	NA	3000	3	140717334.6
SYN1	6853	P17600	NA	48	NA	15625495
TYRP1	7306	P17643	NA	51	7	375471161.8
GAP43	2596	P17677	NA	35	13	45951422.28
HLA-G	3135	P17693	NA	67000	10	166448133.4
DDX5	1655	P17844	NA	310	29	NA
CR1	1378	P17927	NA	33000	NA	96829265
IGFBP3	3486	P17936	NA	3600000	15	NA
FLT1	2321	P17948	NA	87	9	386783148
PSMC3	5702	P17980	NA	290	44	NA
ALOX12	239	P18054	NA	49	8	NA
GPX2	2877	P18283	NA	82	11	NA
IL1RN	3557	P18510	NA	45	NA	73885368.94
RPL17	6139	P18621	NA	160	32	NA
LAG3	3902	P18627	NA	13	NA	NA
ATF6	22926	P18850	NA	46000	NA	NA
ATP5PF	522	P18859	NA	820	11	NA
KRT15	3866	P19012	NA	480000	14	204997872.6
KRT4	3851	P19013	NA	600000	13	213455707.9
PAM	5066	P19021	NA	98000	7	9490565.125
CDH2	1000	P19022	NA	160000	19	20500912.25
GNAZ	2781	P19086	NA	180	11	23966368.5
TNNI1	7135	P19237	NA	74	NA	NA
TNNI3	7137	P19429	NA	2400	NA	NA
TNFRSF1A	7132	P19438	NA	570	15	NA
GGT1	2678	P19440	NA	3600	24	59484245.73
FUT1	2523	P19526	NA	15	NA	NA
ORM2	5005	P19652	NA	41000000	NA	46168339.83
AOC1	26	P19801	NA	2500	1	NA
CEL	1056	P19835	NA	110	5	333178679.9
NCF2	4688	P19878	NA	12	NA	33952760.08
FST	10468	P19883	NA	1800	14	26633282.35
PI3	5266	P19957	NA	1400	NA	153268070
AMY2B	280	P19961	NA	77000	NA	410377099.9
CR2	1380	P20023	NA	220000	NA	NA
HLA-DPA1	3113	P20036	NA	240	NA	NA
TCN1	6947	P20061	NA	4000	NA	42287186.46
TCN2	6948	P20062	NA	19000	NA	NA
CD33	945	P20138	NA	3400	15	NA
TPSB2	64499	P20231	NA	16000	NA	NA
CD22	933	P20273	NA	13	3	NA
BTF3	689	P20290	NA	180	21	NA
TNFRSF1B	7133	P20333	NA	8100	2	NA
ITGAX	3687	P20702	NA	50	NA	61495616.02
DDC	1644	P20711	NA	120	NA	NA
PZP	5858	P20742	NA	15000000	5	2189168853
OGN	4969	P20774	NA	170000	NA	129167556.2
CAST	831	P20810	NA	17000	17	NA
EFNA1	1942	P20827	NA	2800	NA	NA
IMPDH1	3614	P20839	NA	17	28	NA
COL9A1	1297	P20849	NA	120	9	NA
C4BPB	725	P20851	NA	1100000	NA	149332469.9
NEB	4703	P20929	NA	120	13	NA
FLG	2312	P20930	NA	3800	NA	9143249.188
AGA	175	P20933	NA	36000	10	NA
RASA1	5921	P20936	NA	12	12	NA
